BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
20482,6186672,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",115,297,Pearl Gold,Pearl Colors,2,0.16
25269,6251591,25269,"Tile, Round 1 x 1 Quarter",65,82,Metallic Gold,Metallic Colors,4,0
3005,4541376,3005,Brick 1 x 1,59,320,Dark Red,Solid Colors,2,0.44
3023,4539097,3023,Plate 1 x 2,59,320,Dark Red,Solid Colors,3,0.36
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,2,0.36
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3069b,4539090,3069b,Tile 1 x 2 with Groove,59,320,Dark Red,Solid Colors,2,0.26
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,2,0.16
3666,4211056,3666,Plate 1 x 6,85,72,Dark Bluish Gray,Solid Colors,1,1.06
3700,6212010,3700,"Technic, Brick 1 x 2 with Hole",59,320,Dark Red,Solid Colors,1,0.82
37762,6290401,37762,"Minifigure, Utensil Candle",115,297,Pearl Gold,Pearl Colors,2,0
4070,4539092,4070,"Brick, Modified 1 x 1 with Headlight",59,320,Dark Red,Solid Colors,4,0.36
43093,4206482,43093,"Technic, Axle 1 with Pin with Friction Ridges Lengthwise",7,1,Blue,Solid Colors,1,0.26
48723,4587274,48723,"Technic, Axle Connector Hub with 4 Bars and Pin Hole",115,297,Pearl Gold,Pearl Colors,1,0.5
6541,6267414,6541,"Technic, Brick 1 x 1 with Hole",59,320,Dark Red,Solid Colors,1,0
6636,4650865,6636,Tile 1 x 6,59,320,Dark Red,Solid Colors,1,0.83
85861,6190252,85861,"Plate, Round 1 x 1 with Open Stud",115,297,Pearl Gold,Pearl Colors,2,0.1
87087,6212007,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",59,320,Dark Red,Solid Colors,1,0.45
98283,6093908,98283,"Brick, Modified 1 x 2 with Masonry Profile",59,320,Dark Red,Solid Colors,2,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
37,13.73,,,,,,,,
