BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,6,0.36
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
30663,6092956,30663,"Vehicle, Steering Wheel Small, 2 Studs Diameter",86,71,Light Bluish Gray,Solid Colors,1,0.4
3700,4211111,3700,"Technic, Brick 1 x 2 with Hole",85,72,Dark Bluish Gray,Solid Colors,1,0.82
38583,6292417,38583,Arch 1 x 2 Jumper,85,72,Dark Bluish Gray,Solid Colors,2,0
4162,4211008,4162,Tile 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.06
4274,4211483,4274,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,1,0.095
6541,4210639,6541,"Technic, Brick 1 x 1 with Hole",85,72,Dark Bluish Gray,Solid Colors,1,0.38
85984,4567887,85984,Slope 30 1 x 2 x 2/3,85,72,Dark Bluish Gray,Solid Colors,3,0.34
87087,4558955,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",85,72,Dark Bluish Gray,Solid Colors,1,0.45
92946,6069164,92946,Slope 45 2 x 1 with 2/3 Cutout,85,72,Dark Bluish Gray,Solid Colors,2,0.42
98283,6000311,98283,"Brick, Modified 1 x 2 with Masonry Profile",85,72,Dark Bluish Gray,Solid Colors,4,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
24,12.575,,,,,,,,
