BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11437,6116638,11437,"Minifigure, Helmet Ninja Horn Elaborate",88,70,Reddish Brown,Solid Colors,1,0.33
15712,6348057,15712,"Tile, Modified 1 x 1 with Open O Clip",88,70,Reddish Brown,Solid Colors,1,0.2
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,6,0.44
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3062b,4211183,3062b,"Brick, Round 1 x 1 Open Stud",88,70,Reddish Brown,Solid Colors,4,0.28
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,4,0.26
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
3700,4205107,3700,"Technic, Brick 1 x 2 with Hole",2,19,Tan,Solid Colors,1,0.82
4162,4585337,4162,Tile 1 x 8,88,70,Reddish Brown,Solid Colors,1,1.06
4274,4211483,4274,"Technic, Pin 1/2",86,71,Light Bluish Gray,Solid Colors,1,0.095
49668,6248946,49668,"Plate, Modified 1 x 1 with Tooth Horizontal",88,70,Reddish Brown,Solid Colors,1,0.253
6541,4179771,6541,"Technic, Brick 1 x 1 with Hole",2,19,Tan,Solid Colors,1,0.38
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,1,0.45
98283,6148262,98283,"Brick, Modified 1 x 2 with Masonry Profile",2,19,Tan,Solid Colors,1,0.77
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
25,12.788,,,,,,,,
