BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
18041,6162580,18041,"Minifigure, Weapon Harpoon, Smooth Shaft",115,297,Pearl Gold,Pearl Colors,4,0.2
2431,4550324,2431,Tile 1 x 4,2,19,Tan,Solid Colors,1,0.54
3005,4113915,3005,Brick 1 x 1,2,19,Tan,Solid Colors,2,0.44
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3069b,4211052,3069b,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3710,4211001,3710,Plate 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.71
4070,4118793,4070,"Brick, Modified 1 x 1 with Headlight",2,19,Tan,Solid Colors,4,0.36
6541,4179771,6541,"Technic, Brick 1 x 1 with Hole",2,19,Tan,Solid Colors,1,0.38
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,1,0.45
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
17,6.92,,,,,,,,
