BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.3
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
3024,4210719,3024,Plate 1 x 1,85,72,Dark Bluish Gray,Solid Colors,1,0.2
3070b,4210848,3070b,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,1,0.16
4740pb004,4598786,4740pb004,Dish 2 x 2 Inverted (Radar) with Mushroom Spots Pattern,5,4,Red,Solid Colors,1,0.23
4589b,4518400,4589b,Cone 1 x 1 with Top Groove,1,15,White,Solid Colors,1,0.25
4073,614101,4073,"Plate, Round 1 x 1",1,15,White,Solid Colors,2,0.12
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
98138,6284574,98138,"Tile, Round 1 x 1",5,4,Red,Solid Colors,2,0.11
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
11,3.3,,,,,,,,
