BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11090,6336970,11090,Bar Holder with Clip,85,72,Dark Bluish Gray,Solid Colors,2,0.24
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.3
20482,6271752,20482,"Tile, Round 1 x 1 with Bar and Pin Holder",85,72,Dark Bluish Gray,Solid Colors,2,0
3020,4211065,3020,Plate 2 x 4,85,72,Dark Bluish Gray,Solid Colors,1,1.2
30374,6116608,30374,Bar   4L (Lightsaber Blade / Wand),86,71,Light Bluish Gray,Solid Colors,1,0.3
33291,6170302,33291,"Plate, Round 1 x 1 with Flower Edge (4 Knobs / Petals)",88,70,Reddish Brown,Solid Colors,1,0.11
64647,6314353,64647,"Minifigure, Plume Feather Triple Compact / Flame / Water",98,1009009,Glow in Dark Orange,Milky Colors,1,0.19
85861,6215659,85861,"Plate, Round 1 x 1 with Open Stud",88,70,Reddish Brown,Solid Colors,4,0.1
87580,6126083,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",85,72,Dark Bluish Gray,Solid Colors,1,0.5
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
15,3.78,,,,,,,,
